condicion_ocupacion,sexo,edad,nivel_educativo_cod,Lengua,Etnia,Concentracion,Socializar,Experiencia,Movilidad
DESOCUPADO,1,75,5,10,7,2,2,1,2
DESOCUPADO,2,73,6,10,9,2,2,1,2
OCUPADO,1,48,8,10,7,2,2,1,2
DESOCUPADO,1,46,8,10,7,2,2,1,2
OCUPADO,2,40,6,10,7,2,2,1,2
OCUPADO,1,23,8,10,5,2,2,1,2
OCUPADO,1,16,5,10,5,2,2,1,2
OCUPADO,2,41,6,10,1,2,2,1,2
OCUPADO,1,60,11,10,7,2,2,1,2
OCUPADO,2,79,3,2,2,2,2,1,2
OCUPADO,2,41,11,10,7,2,2,1,2
OCUPADO,1,57,10,10,7,2,2,1,2
OCUPADO,2,42,11,10,1,2,2,1,2
OCUPADO,2,38,11,10,1,2,2,2,2
OCUPADO,1,34,10,10,6,2,2,1,2
OCUPADO,1,71,9,1,7,2,2,1,2
OCUPADO,2,65,6,10,7,2,2,2,2
OCUPADO,1,20,10,10,7,2,2,1,2
OCUPADO,1,27,6,10,7,2,2,1,2
DESOCUPADO,2,79,6,1,7,2,2,1,2
OCUPADO,1,21,6,10,8,2,2,1,2
DESOCUPADO,2,69,12,10,7,2,2,1,2
OCUPADO,2,73,5,10,7,2,2,1,2
OCUPADO,2,43,6,10,7,2,2,1,2
OCUPADO,1,44,6,10,7,2,2,1,2
OCUPADO,1,20,6,10,7,2,2,1,2
OCUPADO,1,22,6,10,7,2,2,1,2
OCUPADO,2,21,6,10,7,2,2,1,2
DESOCUPADO,2,79,1,1,9,1,2,1,2
DESOCUPADO,2,18,10,10,9,2,2,1,2
OCUPADO,2,75,5,1,1,2,2,1,2
DESOCUPADO,1,28,12,10,1,2,2,1,2
OCUPADO,2,20,10,10,1,2,2,2,2
OCUPADO,1,50,6,10,8,2,2,1,2
DESOCUPADO,2,43,5,10,7,2,2,1,2
DESOCUPADO,1,17,6,10,8,2,2,2,2
OCUPADO,1,69,4,10,9,2,2,1,2
DESOCUPADO,2,71,4,10,9,2,2,1,2
OCUPADO,1,44,9,10,7,2,2,1,2
DESOCUPADO,2,38,8,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,2,2
OCUPADO,1,29,6,2,2,2,2,1,2
OCUPADO,2,25,6,2,2,2,2,1,2
OCUPADO,1,44,12,10,8,2,2,1,2
DESOCUPADO,2,45,9,10,8,2,2,1,2
DESOCUPADO,2,16,5,10,8,2,2,1,2
DESOCUPADO,2,14,5,10,8,2,2,2,2
OCUPADO,2,59,6,10,5,2,2,1,2
OCUPADO,1,51,6,10,7,2,2,1,2
DESOCUPADO,2,49,6,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,9,2,1,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
DESOCUPADO,2,62,11,10,6,2,2,1,2
DESOCUPADO,1,66,11,10,7,2,2,1,2
OCUPADO,2,37,6,10,7,2,2,1,2
DESOCUPADO,1,17,5,10,7,2,2,1,2
OCUPADO,1,41,6,10,7,2,2,1,2
DESOCUPADO,2,41,6,10,7,2,2,1,2
OCUPADO,1,22,8,10,7,2,2,1,2
DESOCUPADO,2,19,6,10,7,2,2,1,2
DESOCUPADO,1,17,5,10,7,2,2,2,2
OCUPADO,1,41,6,10,7,2,2,1,2
OCUPADO,2,41,6,10,7,2,2,1,2
OCUPADO,1,21,6,10,7,2,2,1,2
OCUPADO,1,77,6,10,7,2,2,1,2
DESOCUPADO,2,34,6,10,1,2,2,1,2
OCUPADO,1,38,11,10,7,2,2,1,2
OCUPADO,1,49,6,1,1,2,2,1,2
OCUPADO,2,22,10,10,7,2,2,1,2
OCUPADO,1,72,4,1,1,2,2,1,2
DESOCUPADO,2,74,9,10,7,2,2,1,2
DESOCUPADO,1,69,5,1,1,2,2,1,2
OCUPADO,1,37,6,10,7,2,2,1,2
OCUPADO,1,35,8,10,5,2,2,1,2
OCUPADO,2,54,4,10,7,2,2,1,2
OCUPADO,1,56,6,10,7,2,2,1,2
OCUPADO,2,20,8,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,1,2
OCUPADO,1,55,6,10,7,2,2,1,2
OCUPADO,1,64,11,10,9,2,2,1,2
OCUPADO,2,53,8,10,7,2,2,1,2
OCUPADO,1,24,10,10,7,2,2,1,2
OCUPADO,1,32,6,1,1,2,2,1,2
DESOCUPADO,2,35,8,10,1,2,2,1,2
DESOCUPADO,2,36,6,10,7,2,2,1,2
OCUPADO,1,40,11,10,7,2,2,1,2
OCUPADO,2,57,3,1,1,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,1,2
OCUPADO,2,52,6,10,7,2,2,1,2
OCUPADO,1,46,6,10,7,2,2,1,2
OCUPADO,1,25,6,10,7,2,2,1,2
OCUPADO,1,48,8,10,7,2,2,1,2
OCUPADO,2,37,6,10,7,2,2,1,2
OCUPADO,1,55,6,10,9,2,2,1,2
OCUPADO,2,50,6,10,9,2,2,1,2
OCUPADO,1,54,6,10,7,2,2,1,2
DESOCUPADO,2,44,6,10,7,2,2,1,2
DESOCUPADO,1,24,10,10,7,2,2,2,2
OCUPADO,2,61,11,10,1,2,2,1,2
OCUPADO,1,30,9,10,7,2,2,1,2
OCUPADO,1,63,11,10,7,2,2,1,2
OCUPADO,2,62,9,10,7,2,2,1,2
DESOCUPADO,1,22,10,10,8,2,2,1,2
OCUPADO,2,65,6,10,7,2,2,1,2
DESOCUPADO,2,45,9,1,7,2,2,1,2
OCUPADO,1,45,6,10,1,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,2,2
OCUPADO,1,43,6,10,7,2,2,1,2
OCUPADO,2,43,9,10,7,2,2,1,2
OCUPADO,1,19,10,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,2,2
DESOCUPADO,1,77,6,10,7,2,2,1,2
DESOCUPADO,1,81,3,1,1,2,2,1,2
OCUPADO,2,52,3,10,7,2,2,1,2
DESOCUPADO,1,78,6,10,7,2,2,1,2
OCUPADO,2,76,6,10,7,2,2,1,2
DESOCUPADO,1,22,10,10,7,2,2,1,2
OCUPADO,1,50,6,10,7,2,2,1,2
OCUPADO,2,34,9,10,7,2,2,1,2
DESOCUPADO,1,94,9,10,7,2,2,1,2
OCUPADO,2,41,9,10,6,2,2,1,2
OCUPADO,2,53,8,10,7,2,2,2,2
OCUPADO,1,26,6,10,7,2,2,1,2
OCUPADO,2,24,10,10,7,2,2,1,2
OCUPADO,2,43,6,10,7,2,2,1,2
OCUPADO,2,24,6,10,7,2,2,1,2
OCUPADO,1,49,10,10,9,2,2,1,2
OCUPADO,2,47,12,10,9,2,2,1,2
OCUPADO,2,39,6,10,7,2,2,1,2
DESOCUPADO,2,19,10,10,7,2,2,2,2
OCUPADO,2,41,5,10,1,2,2,1,2
OCUPADO,1,22,9,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,1,2,2,1,2
OCUPADO,2,40,11,10,7,2,2,1,2
OCUPADO,2,66,9,10,7,2,2,1,2
DESOCUPADO,2,44,10,10,7,2,2,1,2
OCUPADO,1,48,9,10,7,2,2,1,2
OCUPADO,2,46,11,10,7,2,2,1,2
OCUPADO,1,23,11,10,7,2,2,1,2
DESOCUPADO,2,18,10,10,7,2,2,1,2
OCUPADO,2,23,10,10,9,2,2,1,2
DESOCUPADO,2,80,5,10,9,2,2,1,2
OCUPADO,1,49,11,10,7,2,2,1,2
OCUPADO,2,34,6,10,7,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
DESOCUPADO,1,74,8,10,7,2,2,1,2
DESOCUPADO,1,79,11,10,7,2,2,1,2
OCUPADO,2,29,12,10,7,2,2,1,2
OCUPADO,2,40,12,10,1,2,2,1,2
OCUPADO,1,70,6,10,7,2,2,1,2
DESOCUPADO,2,64,6,10,7,2,2,1,2
OCUPADO,1,34,11,10,7,2,2,1,2
OCUPADO,1,68,9,10,7,2,2,1,2
OCUPADO,2,69,9,10,7,2,2,1,2
OCUPADO,2,54,6,10,7,2,2,1,2
DESOCUPADO,1,83,4,1,7,2,2,1,2
OCUPADO,2,34,6,10,7,2,2,1,2
OCUPADO,1,30,6,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,2,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,82,4,10,5,2,2,1,2
OCUPADO,1,36,10,10,7,2,2,1,2
OCUPADO,1,36,6,10,7,2,2,1,2
OCUPADO,2,36,9,10,7,2,2,1,2
OCUPADO,1,60,11,10,7,2,2,1,2
DESOCUPADO,2,70,6,10,6,2,2,1,2
DESOCUPADO,2,47,6,10,6,2,2,1,2
OCUPADO,2,34,9,10,7,2,2,1,2
DESOCUPADO,2,87,9,10,6,2,2,1,2
OCUPADO,1,35,6,10,7,2,2,1,2
OCUPADO,2,36,5,10,7,2,2,1,2
OCUPADO,1,65,6,10,7,2,2,1,2
OCUPADO,2,60,8,10,7,2,2,1,2
DESOCUPADO,1,20,8,10,7,2,2,1,2
OCUPADO,1,25,10,10,7,2,2,1,2
OCUPADO,1,42,6,10,7,2,2,1,2
OCUPADO,2,39,8,10,7,2,2,1,2
OCUPADO,1,57,6,10,8,2,2,1,2
OCUPADO,2,65,6,10,7,2,2,1,2
OCUPADO,1,37,9,10,7,2,2,1,2
OCUPADO,2,32,9,10,7,2,2,1,2
OCUPADO,1,54,9,10,7,2,2,1,2
OCUPADO,2,48,9,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,1,41,8,1,1,2,2,1,2
OCUPADO,2,28,6,10,7,2,2,1,2
DESOCUPADO,2,39,9,10,7,2,2,1,2
OCUPADO,1,40,6,10,7,2,2,1,2
OCUPADO,1,52,11,10,7,2,2,1,2
OCUPADO,2,50,11,10,7,2,2,1,2
DESOCUPADO,1,18,6,10,7,2,2,2,2
DESOCUPADO,2,73,5,10,7,2,2,1,2
OCUPADO,1,44,6,10,7,2,2,1,2
OCUPADO,2,43,5,10,7,2,2,1,2
OCUPADO,2,53,4,10,7,2,2,1,2
OCUPADO,1,24,6,10,7,2,2,1,2
DESOCUPADO,1,17,5,10,7,2,2,1,2
OCUPADO,1,34,6,10,7,2,2,1,2
DESOCUPADO,1,92,4,10,7,2,2,1,2
DESOCUPADO,1,94,6,10,7,2,2,1,2
OCUPADO,1,44,12,10,7,2,2,1,2
OCUPADO,2,43,11,10,7,2,2,1,2
DESOCUPADO,2,68,4,10,2,2,2,1,2
DESOCUPADO,1,66,6,10,7,2,2,1,1
OCUPADO,2,34,11,10,7,2,2,1,2
OCUPADO,1,51,5,10,7,2,2,1,2
DESOCUPADO,2,41,3,10,7,2,2,1,2
OCUPADO,2,23,6,10,7,2,2,1,2
OCUPADO,2,16,5,10,7,2,2,1,2
OCUPADO,1,32,5,10,7,2,2,1,2
DESOCUPADO,2,61,11,10,7,2,2,1,2
OCUPADO,2,24,11,10,7,2,2,2,2
DESOCUPADO,1,19,10,10,1,2,2,1,2
DESOCUPADO,1,54,5,10,5,2,2,1,2
OCUPADO,2,42,6,2,7,2,2,1,2
DESOCUPADO,1,14,7,10,9,1,1,2,2
OCUPADO,2,61,6,10,7,2,2,1,2
OCUPADO,1,38,6,10,7,2,2,1,2
OCUPADO,2,26,6,10,7,2,2,1,2
DESOCUPADO,1,32,11,10,7,2,2,1,2
OCUPADO,1,67,5,10,7,2,2,1,2
OCUPADO,1,72,5,10,7,2,2,1,2
DESOCUPADO,2,73,5,10,8,2,2,1,2
OCUPADO,1,24,6,10,7,2,2,1,2
DESOCUPADO,2,62,3,1,1,2,2,1,2
DESOCUPADO,1,28,5,10,1,2,2,1,2
OCUPADO,2,56,12,10,7,2,2,1,2
OCUPADO,1,53,6,10,7,2,2,1,2
OCUPADO,1,65,6,10,7,2,2,1,2
OCUPADO,2,22,6,10,6,2,2,1,2
OCUPADO,1,53,3,10,5,2,2,1,2
OCUPADO,2,41,5,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,2,2
DESOCUPADO,1,62,3,2,2,2,2,1,2
DESOCUPADO,1,44,12,12,8,2,2,1,2
DESOCUPADO,2,37,11,10,7,2,2,1,2
OCUPADO,1,38,6,10,7,2,2,1,2
OCUPADO,2,35,6,10,7,2,2,1,2
DESOCUPADO,1,18,6,10,7,2,2,2,2
OCUPADO,1,43,5,10,6,2,2,1,2
OCUPADO,2,42,8,10,7,2,2,1,2
OCUPADO,2,19,8,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,1,34,11,10,7,2,2,1,2
OCUPADO,2,34,11,10,5,2,2,1,2
DESOCUPADO,2,88,4,10,7,2,2,1,1
OCUPADO,1,54,6,10,7,2,2,1,2
OCUPADO,2,59,9,10,7,2,2,1,2
DESOCUPADO,1,23,7,10,7,2,2,1,2
OCUPADO,2,26,11,10,7,2,2,1,2
OCUPADO,1,63,6,1,1,2,2,1,2
OCUPADO,2,51,5,10,8,2,2,1,2
OCUPADO,2,17,5,10,9,2,2,1,2
OCUPADO,1,27,6,10,7,2,2,1,2
OCUPADO,2,54,8,10,7,2,2,1,2
OCUPADO,1,57,6,10,5,2,2,1,2
OCUPADO,2,21,10,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
DESOCUPADO,2,74,9,10,7,2,2,1,2
OCUPADO,1,31,6,10,7,2,2,2,2
OCUPADO,2,40,9,10,6,2,2,1,2
OCUPADO,2,56,6,10,1,2,2,1,2
OCUPADO,1,56,6,10,7,2,2,1,2
OCUPADO,2,29,9,10,7,2,2,1,2
DESOCUPADO,2,25,10,10,7,2,2,1,2
DESOCUPADO,2,20,10,10,7,2,2,2,2
OCUPADO,2,14,5,10,1,2,2,2,2
OCUPADO,1,40,9,10,7,2,2,1,2
DESOCUPADO,2,41,6,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,2,2
OCUPADO,2,31,11,10,7,2,2,1,2
OCUPADO,1,27,6,10,7,2,2,1,2
OCUPADO,2,47,5,10,7,2,2,1,2
OCUPADO,2,26,9,10,7,2,2,1,2
OCUPADO,2,23,6,10,7,2,2,1,2
OCUPADO,1,23,6,10,7,2,2,1,2
DESOCUPADO,2,74,4,10,1,2,2,1,1
OCUPADO,2,69,9,2,2,2,2,1,2
OCUPADO,1,36,11,10,7,2,2,1,2
DESOCUPADO,2,37,8,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,2,33,6,10,7,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
OCUPADO,2,33,11,10,7,2,2,2,2
DESOCUPADO,2,67,6,10,7,2,2,1,2
OCUPADO,1,44,5,10,7,2,2,1,2
DESOCUPADO,2,39,5,10,6,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,2,2
OCUPADO,2,27,6,10,7,2,2,1,2
OCUPADO,2,29,6,10,7,2,2,1,2
OCUPADO,1,30,6,10,6,2,2,1,2
OCUPADO,1,45,6,10,7,2,2,1,2
DESOCUPADO,2,39,6,10,5,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,54,5,10,7,2,2,1,2
OCUPADO,1,24,6,10,7,2,2,1,2
OCUPADO,1,19,6,10,7,2,2,1,2
DESOCUPADO,1,61,9,10,7,2,2,1,2
DESOCUPADO,2,62,6,10,7,2,2,1,2
OCUPADO,1,69,10,10,7,2,2,1,2
OCUPADO,2,55,9,10,7,2,2,1,2
DESOCUPADO,1,20,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,7,2,2,2,2
OCUPADO,1,63,8,10,7,2,2,1,2
OCUPADO,2,62,5,10,7,2,2,1,2
DESOCUPADO,2,23,10,10,7,2,2,1,2
OCUPADO,1,57,9,1,1,2,2,1,2
OCUPADO,2,52,6,1,1,2,2,1,2
OCUPADO,1,25,11,10,1,2,2,1,2
DESOCUPADO,2,19,10,10,1,2,2,1,2
OCUPADO,2,60,6,10,7,2,2,1,2
OCUPADO,2,47,6,1,1,2,2,1,2
DESOCUPADO,1,70,10,10,7,2,2,1,2
DESOCUPADO,2,68,10,10,7,2,2,1,2
OCUPADO,2,56,11,10,6,2,2,1,2
DESOCUPADO,1,25,4,10,7,1,2,2,2
DESOCUPADO,2,22,11,10,7,2,2,1,2
OCUPADO,2,86,1,1,7,2,2,1,2
OCUPADO,1,56,3,1,1,2,2,1,2
OCUPADO,1,30,9,10,7,2,2,1,2
OCUPADO,2,32,11,10,7,2,2,1,2
DESOCUPADO,2,45,6,10,7,2,2,1,2
OCUPADO,1,25,6,10,7,2,2,2,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
DESOCUPADO,1,93,6,1,7,1,1,1,2
DESOCUPADO,2,84,6,10,7,2,2,1,2
DESOCUPADO,2,28,5,10,9,2,2,1,2
OCUPADO,1,29,6,10,7,2,2,1,2
DESOCUPADO,1,50,10,10,7,2,2,1,2
OCUPADO,2,57,11,10,7,2,2,1,2
OCUPADO,2,16,5,10,7,2,2,2,2
DESOCUPADO,1,76,4,10,5,2,2,1,2
OCUPADO,1,50,5,10,7,2,2,1,2
OCUPADO,1,39,11,10,9,2,2,1,2
DESOCUPADO,2,76,9,10,9,2,1,1,2
OCUPADO,1,45,5,10,7,2,2,1,2
DESOCUPADO,2,36,6,10,7,2,2,1,2
DESOCUPADO,1,20,6,10,7,2,2,1,2
OCUPADO,1,32,11,10,7,2,2,1,2
DESOCUPADO,2,31,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,2,2
OCUPADO,1,36,9,1,7,2,2,1,2
OCUPADO,2,25,8,10,9,2,2,1,2
OCUPADO,1,56,5,10,7,2,2,1,2
OCUPADO,2,54,9,10,5,2,2,1,2
OCUPADO,2,24,10,10,7,2,2,2,2
DESOCUPADO,1,15,5,10,9,2,2,2,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
OCUPADO,2,58,5,10,7,2,2,1,2
OCUPADO,2,36,6,10,7,2,2,1,2
OCUPADO,1,20,6,10,7,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,6,2,2,2,2
DESOCUPADO,2,75,4,10,6,2,2,1,2
OCUPADO,1,46,9,10,7,2,2,1,2
DESOCUPADO,2,41,9,10,7,2,2,1,2
DESOCUPADO,1,84,11,10,7,1,1,1,2
DESOCUPADO,2,79,11,10,7,2,2,1,2
OCUPADO,1,43,6,10,7,2,2,1,2
DESOCUPADO,2,43,6,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,2,2
OCUPADO,1,56,6,10,7,2,2,1,2
OCUPADO,2,52,4,10,7,2,2,1,2
OCUPADO,2,57,9,10,7,2,2,1,2
DESOCUPADO,2,23,11,10,7,2,2,1,2
OCUPADO,2,33,6,10,5,2,2,1,2
OCUPADO,1,44,11,10,5,2,2,1,2
OCUPADO,2,26,8,10,7,2,2,1,2
OCUPADO,1,28,6,10,7,2,2,1,2
DESOCUPADO,1,89,6,10,7,2,2,1,2
DESOCUPADO,2,79,11,10,7,2,2,1,2
OCUPADO,2,30,6,10,7,2,2,2,2
OCUPADO,2,27,10,10,7,2,2,2,2
OCUPADO,1,44,11,10,7,2,2,1,2
OCUPADO,2,37,11,10,7,2,2,1,2
OCUPADO,1,50,9,10,7,2,2,1,2
OCUPADO,2,38,8,1,1,2,2,1,2
DESOCUPADO,1,17,5,10,7,2,2,1,2
DESOCUPADO,2,43,6,10,1,2,2,1,2
DESOCUPADO,1,18,5,10,7,2,2,1,2
DESOCUPADO,1,18,5,10,7,2,2,1,2
DESOCUPADO,2,80,11,10,9,2,2,1,2
OCUPADO,2,54,12,10,9,2,2,1,2
OCUPADO,2,34,11,10,1,2,2,1,2
OCUPADO,1,61,9,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
DESOCUPADO,2,37,8,1,5,2,2,1,2
OCUPADO,1,37,6,1,1,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
DESOCUPADO,1,71,6,10,7,2,2,1,2
DESOCUPADO,2,72,6,10,7,2,2,1,2
DESOCUPADO,2,82,1,1,1,2,2,1,1
DESOCUPADO,1,74,6,1,1,2,2,1,2
DESOCUPADO,2,74,4,1,1,2,2,1,2
DESOCUPADO,1,74,10,10,7,2,2,1,2
DESOCUPADO,2,69,9,10,7,2,2,1,2
