"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","REGION","LLAVE_PANEL","ESTRATO","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","I339_1","D341_T","I342","D344","I345_1","I348","D347_T","D350","D351_T","INGTOT","INGTOTP","ingtrabw","RESIDENT","fa_def25"
2024,"12","1855601",1,"0016",1,1,"20241218556011001611",,1,1,1,2,,1,75,1,1,11,1,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,6,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,5,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,612.5294094191986
2024,"12","1855601",1,"0016",1,1,"20241218556011001612",,2,2,1,2,,2,73,2,2,15,6,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,4,2,,1,4,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,565.4830392168582
2024,"12","1855601",1,"0016",1,1,"20241218556011001613",,3,3,1,2,,1,48,3,3,7,10,1976,1,,,,,,,,,,,,,,,,7421,9511,2,,3,2,1,1,8,8,8,8,8,8,8,56,,56,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,2478,,,,,,,2478,2478,2478,1,612.5294094191986
2024,"12","17721",1,"0058",1,1,"202412177211005811",,1,1,1,2,,1,46,1,1,20,9,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,1,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,3,,,,,,,,,,,,,1,631.7133859290126
2024,"12","17721",1,"0058",1,1,"202412177211005812",,2,2,1,2,,2,40,2,2,2,3,1984,1,,,,,,,,,,,,,,,,9412,5610,3,5,3,2,1,3,0,9,9,9,9,9,0,45,,45,1,,2,,2,2,4,200,38,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,200,1140,,,,,,,,1340,1340,1340,1,713.3009474413939
2024,"12","17721",1,"0058",1,1,"202412177211005813",,3,3,1,2,,1,23,3,3,13,8,2001,1,,,,,,,,,,,,,,,,7212,2824,3,5,1,,1,20,0,9,9,9,9,9,4,49,,49,1,,2,,2,2,4,2400,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,1,,2,2,2,2,2,2,10,5,1,2400,,,,,,,,,2400,2400,2400,1,628.5702435957219
2024,"12","17721",1,"0058",1,1,"202412177211005814",,4,3,1,2,,1,16,4,4,28,1,2008,1,,,,,,,,,,,,,,,,7513,1071,3,5,1,,2,30,3,0,0,0,0,6,6,15,,15,1,,2,,2,2,2,220,15,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,5,1,953,65,,,,,,,,1018,1018,1018,1,628.5702435957219
2024,"12","17721",1,"0058",1,1,"202412177211005815",,5,3,1,2,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,"12","17721",1,"0058",1,1,"202412177211005816",,6,3,1,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,"12","2407201",1,"0043",1,1,"20241224072011004311",,1,1,1,2,,2,41,1,1,24,8,1983,1,,,,,,,,,,,,,,,,5212,4711,2,,2,2,1,1,10,13,13,13,13,13,13,88,,88,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,1,,,141,600,,,,,,741,741,741,1,1727.5327644294464
